time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw
0.0,-0.0009385069715790451,-0.0002942901337519288,0.024029359221458435,0.0,0.0,0.0,-0.6725484728813171,0.17483152449131012,3.034061908721924
0.02,-5.812585732201114e-05,0.0008062678389251232,0.023984691128134727,0.0,0.0,0.0,-0.7060500383377075,0.1634773463010788,3.0135927200317383
0.04,-0.0007758567808195949,0.0006951928371563554,0.024423325434327126,0.0,0.0,0.0,-0.6562081575393677,0.25475743412971497,2.9673194885253906
0.06,-0.0008736189920455217,0.0008402310195378959,0.025231165811419487,0.0,0.0,0.0,-0.590505063533783,0.6915920972824097,2.8628339767456055
0.08,-0.00993423443287611,-0.001790504204109311,0.025734687224030495,0.0,0.0,0.0,-0.4217623472213745,1.5366532802581787,2.7806525230407715
0.1,-0.018281152471899986,-0.0010827609803527594,0.031278908252716064,0.0,0.0,0.0,-0.2943172752857208,2.111661434173584,2.647911787033081
0.12,-0.027507614344358444,-0.0007744679460301995,0.025199275463819504,0.0,0.0,0.0,-0.22581396996974945,2.252654790878296,2.522149085998535
0.14,-0.028818270191550255,-0.0007201017579063773,0.036322031170129776,0.0,0.0,0.0,-0.36978766322135925,1.6225634813308716,2.3859307765960693
0.16,-0.02290852926671505,-0.0008270851103588939,0.04442376643419266,0.0,0.0,0.0,-0.23274481296539307,0.5887411236763,2.2279491424560547
0.18,-0.02239295281469822,-0.007264402695000172,0.05937349051237106,0.0,0.0,0.0,0.20597505569458008,-0.23553599417209625,2.076364040374756
0.2,-0.01502787135541439,-0.008330936543643475,0.07527180016040802,0.0,0.0,0.0,0.27533459663391113,-1.0243388414382935,1.9500088691711426
0.22,-0.014490250498056412,-0.01170982327312231,0.09193627536296844,0.0,0.0,0.0,0.2891819477081299,-1.3255269527435303,1.829512357711792
0.24,-0.013859475962817669,-0.01036534272134304,0.10908932238817215,0.0,0.0,0.0,0.010904134251177311,-1.4897907972335815,1.7002017498016357
0.26,-0.013669117353856564,-0.009996408596634865,0.1340334564447403,0.0,0.0,0.0,-0.2309190034866333,-1.475185751914978,1.5630558729171753
0.28,-0.011766930110752583,-0.011241924948990345,0.15147380530834198,0.0,0.0,0.0,-0.3346157670021057,-1.371312141418457,1.4430683851242065
0.3,-0.011577199213206768,-0.011829866096377373,0.1735638678073883,0.0,0.0,0.0,-0.38952183723449707,-1.2564541101455688,1.3238805532455444
0.32,-0.01181783527135849,-0.01648305542767048,0.1902848333120346,0.0,0.0,0.0,-0.2759365737438202,-1.107254981994629,1.2219181060791016
0.34,-0.012202797457575798,-0.017725687474012375,0.20768402516841888,0.0,0.0,0.0,-0.2850302755832672,-0.9696086049079895,1.0876414775848389
0.36,-0.012721332721412182,-0.01773156225681305,0.2227993607521057,0.0,0.0,0.0,-0.44910240173339844,-0.833023726940155,0.9669476747512817
0.38,-0.013076051138341427,-0.017219312489032745,0.2385229915380478,0.0,0.0,0.0,-0.6632559299468994,-0.7319757342338562,0.8519365191459656
0.4,-0.012962652370333672,-0.017972342669963837,0.2517698407173157,0.0,0.0,0.0,-0.8799535632133484,-0.6850528120994568,0.7564618587493896
0.42,-0.012618549168109894,-0.019242318347096443,0.26560014486312866,0.0,0.0,0.0,-1.0204142332077026,-0.6770759224891663,0.6790494322776794
0.44,-0.012124218977987766,-0.01585606299340725,0.2770102024078369,0.0,0.0,0.0,-1.2486382722854614,-0.6731284260749817,0.5596081018447876
0.46,-0.011685381643474102,-0.015151923522353172,0.28745126724243164,0.0,0.0,0.0,-1.3197686672210693,-0.6402661204338074,0.46411874890327454
0.48,-0.011507973074913025,-0.015803851187229156,0.2989967167377472,0.0,0.0,0.0,-1.3147975206375122,-0.577930748462677,0.37973007559776306
0.5,-0.011049184016883373,-0.015942350029945374,0.30785953998565674,0.0,0.0,0.0,-1.2641404867172241,-0.48525840044021606,0.3171018958091736
0.52,-0.011657234281301498,-0.01656005159020424,0.3181670308113098,0.0,0.0,0.0,-1.1542935371398926,-0.356458842754364,0.2449444979429245
0.54,-0.012294036336243153,-0.01714985817670822,0.32588863372802734,0.0,0.0,0.0,-1.052420735359192,-0.2676074504852295,0.1801253855228424
0.56,-0.011411774903535843,-0.0179291944950819,0.33492714166641235,0.0,0.0,0.0,-0.9902198314666748,-0.2228187620639801,0.15113261342048645
0.58,-0.009606159292161465,-0.01854725368320942,0.3417607247829437,0.0,0.0,0.0,-0.9222838878631592,-0.2574826776981354,0.10655516386032104
0.6,-0.009157851338386536,-0.019114481285214424,0.3497680425643921,0.0,0.0,0.0,-0.8769993782043457,-0.2537086308002472,0.09247582405805588
0.62,-0.009124922566115856,-0.019038967788219452,0.35588937997817993,0.0,0.0,0.0,-0.8877741098403931,-0.22138036787509918,0.06114010140299797
0.64,-0.009184983558952808,-0.01894497498869896,0.36217811703681946,0.0,0.0,0.0,-0.8776760697364807,-0.10727213323116302,0.03910711780190468
0.66,-0.008920987136662006,-0.018474949523806572,0.36761707067489624,0.0,0.0,0.0,-0.8722115755081177,-0.036544203758239746,0.02293526940047741
0.68,-0.0086228521540761,-0.017941031605005264,0.3727380335330963,0.0,0.0,0.0,-0.8757861256599426,0.019077692180871964,0.02120213769376278
0.7,-0.008790211752057076,-0.017679551616311073,0.3759782910346985,0.0,0.0,0.0,-0.8524243831634521,0.0772545263171196,0.022645724937319756
0.72,-0.008601300418376923,-0.01688961498439312,0.3804354667663574,0.0,0.0,0.0,-0.7906410694122314,0.07554897665977478,0.04088633507490158
0.74,-0.00835038535296917,-0.017096858471632004,0.3828478753566742,0.0,0.0,0.0,-0.7217356562614441,0.07879794389009476,0.062206972390413284
0.76,-0.008430524729192257,-0.017794864252209663,0.38678425550460815,0.0,0.0,0.0,-0.6346436142921448,0.0441281832754612,0.09002247452735901
0.78,-0.008208910003304482,-0.017115052789449692,0.39156410098075867,0.0,0.0,0.0,-0.5861685872077942,0.05928480625152588,0.12825830280780792
0.8,-0.007954467087984085,-0.016962334513664246,0.39540356397628784,0.0,0.0,0.0,-0.5550846457481384,0.030270932242274284,0.13907694816589355
0.82,-0.015529853291809559,0.009925056248903275,0.4002247452735901,-0.015665050595998764,0.009651033207774162,0.396755576133728,-0.528154194355011,-0.004531124606728554,0.1584623157978058
0.84,-0.015222368761897087,0.010442417114973068,0.4040631055831909,-0.015665050595998764,0.009651033207774162,0.396755576133728,-0.4579366147518158,-0.026743421331048012,0.16869592666625977
0.86,-0.014844996854662895,0.010821222327649593,0.4079168736934662,-0.015665050595998764,0.009651033207774162,0.396755576133728,-0.31002524495124817,-0.08987469971179962,0.20464138686656952
0.88,-0.014394995756447315,0.0112870829179883,0.41166648268699646,-0.017728248611092567,0.01519351452589035,0.4104378819465637,-0.0776948630809784,-0.1624329686164856,0.21308541297912598
0.9,-0.017125656828284264,0.0140590975061059,0.415315181016922,-0.017728248611092567,0.01519351452589035,0.4104378819465637,0.090701624751091,-0.018385715782642365,0.14762043952941895
0.92,-0.01732444390654564,0.014866669662296772,0.4179637134075165,-0.017728248611092567,0.01519351452589035,0.4104378819465637,0.24538403749465942,-0.08836647123098373,0.20603851974010468
0.94,-0.01753704994916916,0.015593699179589748,0.4213661849498749,-0.017728248611092567,0.01519351452589035,0.4104378819465637,0.43049752712249756,-0.16156414151191711,0.23976270854473114
0.96,-0.017806800082325935,0.01606968604028225,0.42411673069000244,-0.017728248611092567,0.01519351452589035,0.4104378819465637,0.612044095993042,-0.2884661853313446,0.23699405789375305
0.98,-0.018064087256789207,0.0170329287648201,0.4272678792476654,-0.017728248611092567,0.01519351452589035,0.4104378819465637,0.737411379814148,-0.44046589732170105,0.2543242871761322
1.0,-0.017896417528390884,0.017647864297032356,0.42834576964378357,-0.021068478003144264,0.02286422997713089,0.42996349930763245,0.8655873537063599,-0.6128040552139282,0.2536924183368683
1.02,-0.019296379759907722,0.020411115139722824,0.43113458156585693,-0.021068478003144264,0.02286422997713089,0.42996349930763245,0.9607059955596924,-0.7022913694381714,0.16896721720695496
1.04,-0.019664671272039413,0.020841464400291443,0.4336073398590088,-0.021068478003144264,0.02286422997713089,0.42996349930763245,1.097231388092041,-0.7169274687767029,0.19137050211429596
1.06,-0.02041943371295929,0.022608444094657898,0.43623703718185425,-0.022223176434636116,0.024635396897792816,0.4361962080001831,1.195290207862854,-0.7701048254966736,0.2227526158094406
1.08,-0.02114146389067173,0.023864395916461945,0.44011953473091125,-0.022428423166275024,0.0256592258810997,0.43918657302856445,1.2600125074386597,-0.8168455362319946,0.2659406363964081
1.1,-0.021467724815011024,0.024853847920894623,0.4427957236766815,-0.022792262956500053,0.026512812823057175,0.4418349862098694,1.3391847610473633,-0.8833029866218567,0.2944320738315582
1.12,-0.02141064964234829,0.025249047204852104,0.44543468952178955,-0.022792262956500053,0.026512812823057175,0.4418349862098694,1.464355707168579,-0.9550400972366333,0.2935977280139923
1.14,-0.0216009970754385,0.02569427527487278,0.44785961508750916,-0.022792262956500053,0.026512812823057175,0.4418349862098694,1.5248230695724487,-1.0240472555160522,0.3407430648803711
1.16,-0.022085724398493767,0.026718726381659508,0.45042136311531067,-0.0237831212580204,0.02856472134590149,0.4498876631259918,1.5483033657073975,-1.06899094581604,0.3580161929130554
1.18,-0.02193865366280079,0.026865048334002495,0.45475366711616516,-0.0237831212580204,0.02856472134590149,0.4498876631259918,1.5772491693496704,-1.0643724203109741,0.3864779770374298
1.2,-0.02217794768512249,0.02687818743288517,0.45737212896347046,-0.0237831212580204,0.02856472134590149,0.4498876631259918,1.5733145475387573,-1.0518267154693604,0.3809202015399933
1.22,-0.021945320069789886,0.026822052896022797,0.4596535861492157,-0.0237831212580204,0.02856472134590149,0.4498876631259918,1.6039199829101562,-1.0828406810760498,0.3702647387981415
1.24,-0.02162095345556736,0.02664719708263874,0.46221432089805603,-0.0237831212580204,0.02856472134590149,0.4498876631259918,1.5464271306991577,-1.094421148300171,0.3539547026157379
1.26,-0.0212410818785429,0.026378372684121132,0.4639817178249359,-0.023910216987133026,0.029768778011202812,0.4636242389678955,1.460332989692688,-1.0817766189575195,0.35581502318382263
1.28,-0.021684523671865463,0.02689184807240963,0.46614521741867065,-0.023910216987133026,0.029768778011202812,0.4636242389678955,1.4128154516220093,-1.0249547958374023,0.26352235674858093
1.3,-0.021671967580914497,0.027130531147122383,0.4673716723918915,-0.023151930421590805,0.029201507568359375,0.4669821560382843,1.3491263389587402,-0.9740520715713501,0.3151569962501526
1.32,-0.021093660965561867,0.025870949029922485,0.46925532817840576,-0.023151930421590805,0.029201507568359375,0.4669821560382843,1.2932766675949097,-0.920700192451477,0.3452383577823639
1.34,-0.02051357552409172,0.025229327380657196,0.471068412065506,-0.023151930421590805,0.029201507568359375,0.4669821560382843,1.2312321662902832,-0.8572385311126709,0.3208807110786438
