time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.0,-0.060183849185705185,-0.2301853448152542,0.00865066610276699,0.0,0.0,0.0,0.06799432635307312,0.007967681623995304,-0.00261849258095026,-0.002797348890453577,2.88076114654541,0.00852228980511427,58353.0,65535.0,39755.0,32545.0,0,0,0,0,57552.703125,-26116.0,-6528.0,-55.0
0.02,-0.061516836285591125,-0.23524610698223114,0.011276493780314922,0.0,0.0,0.0,0.029927385970950127,0.010864201933145523,-0.004422353580594063,-0.0029171330388635397,2.8808796405792236,0.011311199516057968,60687.0,65535.0,40457.0,35785.0,0,0,0,0,57995.90625,-24309.0,-7815.0,182.0
0.04,-0.06368423998355865,-0.24361702799797058,0.011352172121405602,0.0,0.0,0.0,0.01913539692759514,-0.026538975536823273,-0.008014127612113953,-0.0029171330388635397,2.8808796405792236,0.011399325914680958,60329.0,65535.0,52265.0,46283.0,0,0,0,0,58422.26953125,-5253.0,-7877.0,318.0
0.06,-0.06578201055526733,-0.25171878933906555,0.011712746694684029,0.0,0.0,0.0,-0.12982353568077087,-0.07137706130743027,0.014452479779720306,-0.0029224331956356764,2.880885362625122,0.01194679830223322,41989.0,44161.0,65535.0,60143.0,0,0,0,0,58024.921875,20819.0,-1725.0,442.0
0.08,-0.0677984356880188,-0.25950828194618225,0.013044342398643494,0.0,0.0,0.0,-1.6883528232574463,-0.07636924088001251,0.09990287572145462,-0.002824058523401618,2.8807880878448486,0.013994806446135044,51133.0,51815.0,61121.0,61207.0,0,0,0,0,56319.69921875,5022.0,-3208.0,-2807.0
0.1,0.07845704257488251,0.1689538061618805,0.01660812646150589,0.0,0.0,0.0,-8.939727783203125,-1.7472151517868042,-0.010044315829873085,-0.002480973256751895,2.8807570934295654,0.013640574179589748,32615.0,25435.0,58047.0,65535.0,0,0,0,0,55419.8046875,22691.0,12920.0,-354.0
0.12,0.15201587975025177,0.02673790603876114,0.01971445232629776,0.0,0.0,0.0,-10.850791931152344,-3.2104570865631104,-0.2515518069267273,-0.0015544216148555279,2.8812148571014404,0.022652186453342438,65535.0,53673.0,34875.0,45317.0,0,0,0,0,51408.2421875,-27476.0,-2662.0,40.0
0.14,0.13672469556331635,0.024222485721111298,0.026425398886203766,0.0,0.0,0.0,-11.21011734008789,-3.669830560684204,-0.27856650948524475,-0.001503339153714478,2.8813488483428955,0.030646009370684624,45286.0,58856.0,49980.0,37758.0,0,0,0,0,47970.24609375,-3929.0,-13588.0,-1209.0
0.16,0.03685098886489868,0.07467787712812424,0.03662635013461113,0.0,0.0,0.0,-8.681126594543457,-2.1313297748565674,-0.18495877087116241,0.024776102975010872,2.881448745727539,0.04200659692287445,29653.0,46085.0,59577.0,46293.0,0,0,0,0,45402.01953125,11348.0,-8925.0,-1483.0
0.18,0.02042837254703045,0.11179152876138687,0.0459895096719265,0.0,0.0,0.0,-6.319301128387451,-0.17290513217449188,-0.04128070920705795,0.02321273274719715,2.8812787532806396,0.052223701030015945,34875.0,45797.0,48683.0,42957.0,0,0,0,0,43078.3359375,945.0,-6841.0,-1102.0
0.2,0.002503653522580862,0.11048295348882675,0.06017664447426796,0.0,0.0,0.0,-4.590243339538574,1.29705810546875,-0.12999753654003143,0.029396962374448776,2.9626145362854004,0.06568985432386398,43286.0,44496.0,35624.0,38370.0,0,0,0,0,40444.62109375,-7298.0,-25.0,-964.0
0.22,0.008563186042010784,0.10533556342124939,0.07528601586818695,0.0,0.0,0.0,-2.241752862930298,1.4165363311767578,-0.2760978937149048,0.03109750710427761,2.9645206928253174,0.08319836854934692,42132.0,38912.0,31378.0,38666.0,0,0,0,0,37772.69921875,-4689.0,705.0,-1207.0
0.24,0.010878360830247402,0.10220404714345932,0.09391489624977112,0.0,0.0,0.0,0.7480989694595337,0.6362480521202087,-0.4066846966743469,0.032903194427490234,2.966557741165161,0.10240986943244934,34662.0,37498.0,32044.0,34700.0,0,0,0,0,34726.34375,-3221.0,1047.0,-1336.0
0.26,0.009640323929488659,0.10920695960521698,0.11803055554628372,0.0,0.0,0.0,3.4719576835632324,-0.47266581654548645,-0.5258596539497375,0.031180035322904587,2.958566427230835,0.12715409696102142,31095.0,37205.0,32631.0,31725.0,0,0,0,0,33164.92578125,-625.0,-1059.0,-1207.0
0.28,0.009526492096483707,0.1143709346652031,0.13649103045463562,0.0,0.0,0.0,5.5798797607421875,-1.4077776670455933,-0.6013826727867126,0.031274858862161636,2.9586915969848633,0.1456253081560135,28034.0,38808.0,34138.0,28496.0,0,0,0,0,32369.5390625,-2157.0,-8651.0,-1190.0
0.3,0.009258807636797428,0.12203358113765717,0.16000382602214813,0.0,0.0,0.0,7.255686283111572,-2.0131311416625977,-0.668006420135498,0.031214069575071335,2.9620044231414795,0.16927224397659302,26608.0,36336.0,33024.0,28068.0,0,0,0,0,31009.34375,-743.0,-3425.0,-1129.0
0.32,0.00920282956212759,0.12501609325408936,0.1783055067062378,0.0,0.0,0.0,8.550226211547852,-2.419510841369629,-0.7286059856414795,0.030703220516443253,2.963937759399414,0.18657800555229187,29096.0,33706.0,30806.0,30776.0,0,0,0,0,31096.5546875,-352.0,-306.0,-952.0
0.34,0.009289509616792202,0.126238614320755,0.19506825506687164,0.0,0.0,0.0,9.531916618347168,-2.9071569442749023,-0.7483584880828857,0.03076886013150215,2.964897632598877,0.2056296318769455,31348.0,33518.0,28600.0,30610.0,0,0,0,0,31019.62890625,-1238.0,771.0,-875.0
0.36,0.010479032061994076,0.13125446438789368,0.21381308138370514,0.0,0.0,0.0,10.268771171569824,-3.655583143234253,-0.6938982605934143,0.030567549169063568,2.9646921157836914,0.2219841033220291,32482.0,31404.0,28706.0,33364.0,0,0,0,0,31489.7265625,-1564.0,783.0,-994.0
0.38,0.01239145640283823,0.1337776780128479,0.22963538765907288,0.0,0.0,0.0,10.88217544555664,-4.566466331481934,-0.5958675146102905,0.028914010152220726,2.9678399562835693,0.23409128189086914,31538.0,35408.0,31992.0,31670.0,0,0,0,0,32652.5,-2152.0,-2813.0,-853.0
0.4,0.01211579330265522,0.12980090081691742,0.23654630780220032,0.0,0.0,0.0,11.306096076965332,-5.468545436859131,-0.49285995960235596,0.02765815332531929,2.9649760723114014,0.24331103265285492,33745.0,35115.0,32939.0,34737.0,0,0,0,0,34134.57421875,-1323.0,-1132.0,-628.0
0.42,0.01489523146301508,0.13108155131340027,0.24947865307331085,0.0,0.0,0.0,11.594985008239746,-6.2394633293151855,-0.41607117652893066,0.027422262355685234,2.9647297859191895,0.2556942105293274,34483.0,36525.0,33829.0,35119.0,0,0,0,0,34989.0390625,-1195.0,63.0,-851.0
0.44,0.017973363399505615,0.13224081695079803,0.2613507807254791,0.0,0.0,0.0,11.692691802978516,-6.973449230194092,-0.3493923842906952,0.027231601998209953,2.9645297527313232,0.26704341173171997,35299.0,37925.0,34683.0,35661.0,0,0,0,0,35892.16796875,-130.0,-598.0,-926.0
0.46,0.021615924313664436,0.13203725218772888,0.27165383100509644,0.0,0.0,0.0,11.637288093566895,-7.69558048248291,-0.30553779006004333,0.026109205558896065,2.96932053565979,0.2768380045890808,36857.0,38251.0,35145.0,36403.0,0,0,0,0,36664.91015625,-53.0,542.0,-905.0
0.48,0.02535230852663517,0.13228163123130798,0.2815876305103302,0.0,0.0,0.0,11.387749671936035,-8.295422554016113,-0.2722087800502777,0.02596958354115486,2.9691717624664307,0.2863449156284332,34656.0,41150.0,38060.0,34210.0,0,0,0,0,37019.69140625,-1191.0,-7124.0,-635.0
0.5,0.028544669970870018,0.13368111848831177,0.29297003149986267,0.0,0.0,0.0,11.034415245056152,-8.69157886505127,-0.2601773738861084,0.02640911191701889,2.9700558185577393,0.2974435091018677,36020.0,39420.0,37658.0,37134.0,0,0,0,0,37558.84375,-718.0,-1545.0,92.0
0.52,0.030059441924095154,0.12936820089817047,0.296843558549881,0.0,0.0,0.0,10.669144630432129,-8.849408149719238,-0.2735773026943207,0.024352770298719406,2.973361015319824,0.3011913597583771,39095.0,39239.0,35915.0,39215.0,0,0,0,0,38366.22265625,-275.0,2433.0,-681.0
0.54,0.04144132509827614,0.12979517877101898,0.3077012002468109,0.0,0.0,0.0,10.118943214416504,-9.289199829101562,-0.42256900668144226,0.024814525619149208,2.974564552307129,0.31149962544441223,38946.0,38802.0,36908.0,40240.0,0,0,0,0,38724.43359375,-209.0,-873.0,-495.0
0.56,0.04666499048471451,0.12630221247673035,0.3148725628852844,0.0,0.0,0.0,9.621201515197754,-9.640975952148438,-0.4152284264564514,0.0245549064129591,2.974299907684326,0.31846505403518677,36995.0,42385.0,39121.0,37463.0,0,0,0,0,38991.7578125,186.0,-1326.0,-577.0
0.58,0.05219357833266258,0.12193748354911804,0.3216496407985687,0.0,0.0,0.0,9.032845497131348,-9.840950965881348,-0.4457398056983948,0.02267596684396267,2.978297472000122,0.3196878135204315,36259.0,45549.0,42089.0,36431.0,0,0,0,0,40082.41015625,1635.0,-7082.0,-613.0
0.6,0.057751450687646866,0.1160082221031189,0.32239577174186707,0.0,0.0,0.0,8.409261703491211,-9.731550216674805,-0.5289357900619507,0.022332392632961273,2.9779460430145264,0.3254517614841461,37254.0,44542.0,41302.0,37654.0,0,0,0,0,40188.2109375,1528.0,-1982.0,-511.0
0.62,0.06456691771745682,0.11013645678758621,0.3281436562538147,0.0,0.0,0.0,7.643109321594238,-9.470078468322754,-0.6238548159599304,0.022059965878725052,2.9776675701141357,0.33113616704940796,39902.0,40618.0,38300.0,41848.0,0,0,0,0,40167.890625,960.0,-1173.0,-271.0
