time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,B,C,X,S,T,Y,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.0,3.661049049696885e-05,-0.0017104008002206683,0.0028427678626030684,0.0,0.0,0.0,-1.333753228187561,0.27511507272720337,0.009356105700135231,-0.007018555421382189,2.8570549488067627,0.0028427678626030684,-0.6619576215744019,0.1270422339439392,3.150652992189862e-05,-0.22050030529499054,0.4884996712207794,-0.00178476981818676,28316.0,30010.0,31422.0,29604.0,0,0,0,0,29838.572265625,833.0,-520.0,-20.0
0.02,0.0002652606344781816,-0.0010182703845202923,0.0028637791983783245,0.0,0.0,0.0,-1.3799389600753784,0.261652410030365,0.012148216366767883,-0.007017097901552916,2.8570556640625,0.0028637791983783245,-0.6617812514305115,0.1272185891866684,0.00026661547599360347,-0.21989573538303375,0.4891042709350586,-0.0010093213059008121,27551.0,30711.0,32147.0,28851.0,0,0,0,0,29815.0390625,1032.0,-1825.0,-2.0
0.042,0.0002895042998716235,-0.0009149213437922299,-0.0008547667530365288,0.0,0.0,0.0,-1.3815616369247437,0.26836225390434265,0.013151760213077068,-0.007450077682733536,2.8574838638305664,-0.001174606615677476,-0.6487106680870056,0.12928949296474457,0.0002839786757249385,-0.21391497552394867,0.45308539271354675,-0.0008433066541329026,28859.0,28105.0,31353.0,32007.0,0,0,0,0,30081.505859375,1473.0,-1434.0,143.0
0.06,3.6429119063541293e-06,-0.0007997323991730809,0.0011009485460817814,0.0,0.0,0.0,-1.3539540767669678,0.2982659637928009,0.015417858958244324,-0.007540463469922543,2.857581615447998,0.0011204276233911514,-0.648924708366394,0.12907546758651733,-6.850503268651664e-06,-0.21482974290847778,0.45217064023017883,-0.0018224959494546056,28999.0,28609.0,30957.0,31859.0,0,0,0,0,30106.291015625,1351.0,173.0,-247.0
0.08,-2.8455062420107424e-05,-0.0010999366641044617,0.0009947421494871378,0.0,0.0,0.0,-1.3114924430847168,0.3098681569099426,0.01949129067361355,-0.007538322359323502,2.8575828075408936,0.0010121538070961833,-0.6490694284439087,0.12893076241016388,-0.0002910344337578863,-0.21491988003253937,0.45208048820495605,-0.0018403588328510523,27648.0,27398.0,31982.0,33408.0,0,0,0,0,30109.330078125,4027.0,4327.0,-835.0
0.105,-1.7283182387473062e-06,-0.0019510169513523579,-0.0008077656966634095,0.0,0.0,0.0,-1.243915319442749,0.3135037124156952,0.0018409937620162964,-0.007707242388278246,2.8577651977539062,-0.0010120067745447159,-0.6460017561912537,0.1289982795715332,-5.7408775319345295e-05,-0.21295103430747986,0.5120489597320557,-0.0018352026818320155,30834.0,35286.0,33320.0,31124.0,0,0,0,0,32641.88671875,4759.0,-1379.0,-741.0
0.12,-0.0001197015808429569,-0.00166297797113657,0.0007575984345749021,0.0,0.0,0.0,-1.2535165548324585,0.31214162707328796,-0.05319506302475929,-0.007785664405673742,2.8578362464904785,0.000735140813048929,-0.6462119817733765,0.128788024187088,-0.00042013818165287375,-0.21203269064426422,0.5129672884941101,-0.0004553388571366668,28687.0,33765.0,35617.0,32651.0,0,0,0,0,32680.62109375,2321.0,-463.0,-437.0
0.14,-0.00040452496614307165,0.0002742762444540858,0.0006342856213450432,0.0,0.0,0.0,-1.3186753988265991,0.3564842939376831,-0.17234955728054047,-0.0077855344861745834,2.8578362464904785,0.0006535851280204952,-0.6465640664100647,0.12843595445156097,-0.0010759772267192602,-0.21204330027103424,0.5129566192626953,-2.7754867915064096e-06,30380.0,31696.0,34724.0,34172.0,0,0,0,0,32743.41796875,180.0,-2164.0,-204.0
0.16,-0.0008268026867881417,0.00019701782730408013,0.0005713871214538813,0.0,0.0,0.0,-1.2892258167266846,0.36396029591560364,-0.2326449304819107,-0.007780524902045727,2.8578388690948486,0.0005937201785854995,-0.6549287438392639,0.12907123565673828,-0.000928764755371958,-0.20720191299915314,0.5247980952262878,-0.00020184990717098117,32132.0,31238.0,32850.0,35660.0,0,0,0,0,32970.78515625,-349.0,-4735.0,-435.0
0.18,-0.0010367699433118105,6.289352313615382e-05,-0.0008389411959797144,0.0,0.0,0.0,-1.2504143714904785,0.37547680735588074,-0.24852332472801208,-0.008133752271533012,2.8581924438476562,-0.0008315852610394359,-0.6547537446022034,0.12924617528915405,-0.0009499210864305496,-0.20731063187122345,0.5246893763542175,0.00022472147247754037,33127.0,35435.0,31437.0,31425.0,0,0,0,0,32856.01953125,-6024.0,-1252.0,-592.0
0.2,-0.0012246842961758375,0.0004922624211758375,-0.0009693201864138246,0.0,0.0,0.0,-1.1113659143447876,0.36317458748817444,-0.2947109341621399,-0.008127543143928051,2.8581960201263428,-0.0009283926920033991,-0.6547804474830627,0.1292194128036499,-0.0012040813453495502,-0.20798073709011078,0.5240193009376526,-4.017111496068537e-05,32687.0,41101.0,36165.0,30923.0,0,0,0,0,35219.796875,-1151.0,-2676.0,-788.0
0.22,-0.0011810692958533764,0.0010672147618606687,-0.0009272915776818991,0.0,0.0,0.0,-0.6999702453613281,0.32794561982154846,-0.3586342930793762,-0.008133209310472012,2.8581929206848145,-0.0009406075696460903,-0.6546260714530945,0.12937378883361816,-0.0012153558200225234,-0.207128643989563,0.5248714089393616,0.001821116078644991,34108.0,39912.0,34676.0,31884.0,0,0,0,0,35145.1640625,-2502.0,-7674.0,-739.0
0.24,-0.0003830046334769577,0.0012151125119999051,-0.0007103126845322549,0.0,0.0,0.0,-0.18422354757785797,0.40243810415267944,-0.4391823410987854,-0.00852818600833416,2.85860276222229,-0.0007132752216421068,-0.643437922000885,0.12956222891807556,-0.000576875580009073,-0.20500613749027252,0.548993706703186,0.0016570461448282003,35344.0,38090.0,32630.0,32868.0,0,0,0,0,34733.52734375,-3316.0,585.0,-722.0
0.26,-0.0011426585260778666,0.000679123739246279,-0.00020232205861248076,0.0,0.0,0.0,0.36004137992858887,0.7056522965431213,-0.508988618850708,-0.008521306328475475,2.858607053756714,-0.000215691834455356,-0.6442556977272034,0.1287444680929184,-0.0018227621912956238,-0.206817626953125,0.5471822023391724,-4.64224285678938e-05,34075.0,34523.0,31299.0,34275.0,0,0,0,0,33543.37109375,995.0,890.0,-803.0
0.28,-0.0019466076046228409,-0.001965551171451807,0.004601436201483011,0.0,0.0,0.0,0.9971427917480469,0.8107402324676514,-0.568337619304657,-0.008677946403622627,2.8586833477020264,0.004319067113101482,-0.6471861004829407,0.12581411004066467,-0.006634685210883617,-0.2106325477361679,0.5433672070503235,-0.005509535316377878,30488.0,33132.0,35052.0,35372.0,0,0,0,0,33511.8359375,3994.0,-1986.0,-732.0
0.301,-0.004950154107064009,-0.0070996154099702835,0.0037423628382384777,0.0,0.0,0.0,1.425034523010254,0.7084490060806274,-0.642691969871521,-0.008963378146290779,2.8589844703674316,0.0037423628382384777,-0.6465321183204651,0.12846791744232178,-0.004950154107064009,-0.1907227635383606,2.8012776374816895,-0.0070996154099702835,33919.0,38617.0,37025.0,34915.0,0,0,0,0,36119.1171875,229.0,-4723.0,-691.0
0.32,-0.0047197300009429455,-0.007642891723662615,0.002016274491325021,0.0,0.0,0.0,1.2918654680252075,0.5821289420127869,-0.6642187833786011,-0.00899469293653965,2.85884428024292,0.002175423316657543,-0.6462651491165161,0.12873487174510956,-0.0053547886200249195,-0.19457581639289856,2.797424793243408,-0.012625967152416706,35184.0,39056.0,36230.0,35514.0,0,0,0,0,36496.75,-2277.0,-2775.0,-834.0
0.34,-0.005399356130510569,-0.012545598670840263,0.0029617182444781065,0.0,0.0,0.0,1.1515785455703735,0.5205230712890625,-0.6974284052848816,-0.008926942944526672,2.8588807582855225,0.0038080564700067043,-0.6465104818344116,0.12848952412605286,-0.006453067529946566,-0.19323228299617767,2.7987685203552246,-0.01213839091360569,33777.0,39033.0,36701.0,35201.0,0,0,0,0,36178.1484375,-900.0,-3824.0,-2134.0
0.362,-0.004678055644035339,-0.016559338197112083,0.004003087989985943,0.0,0.0,0.0,0.8234903812408447,0.437910258769989,-0.7881768345832825,-0.009135209955275059,2.8590176105499268,0.004003087989985943,-0.6763179302215576,0.1486816257238388,-0.004678055644035339,-0.23130172491073608,2.81569766998291,-0.016559338197112083,37264.0,38618.0,33834.0,35748.0,0,0,0,0,36366.18359375,-4500.0,-3519.0,-1294.0
