time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw
0.0,-4.4295520638115704e-05,-0.0008041866240091622,0.023763440549373627,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-0.5855307579040527,0.28372249007225037,-1.427826166152954
0.02,-0.00032439245842397213,-0.0004959264770150185,0.023704849183559418,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-0.5440796613693237,0.343798965215683,-1.4354640245437622
0.04,-0.0006955505232326686,-0.0006218941416591406,0.022985775023698807,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-0.5526564717292786,0.4944998025894165,-1.3020604848861694
0.06,-0.009259826503694057,0.0021946998313069344,0.023600410670042038,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-0.5855237245559692,1.2450984716415405,-1.2002516984939575
0.08,-0.014855943620204926,-0.012554709799587727,0.017839182168245316,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-0.11434565484523773,1.896695852279663,-1.0819125175476074
0.1,-0.018253143876791,-0.017452599480748177,0.02288946881890297,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,0.09349887073040009,2.1174814701080322,-1.0095990896224976
0.12,-0.02452428638935089,-0.02293344959616661,0.020373526960611343,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,0.15831685066223145,2.023604393005371,-0.91133713722229
0.14,-0.026774685829877853,-0.028533045202493668,0.030820338055491447,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-0.2890748381614685,1.5611202716827393,-0.8057952523231506
0.16,-0.022108949720859528,-0.02704906463623047,0.04591205343604088,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-0.9034748673439026,0.6636195182800293,-0.7119452953338623
0.18,-0.019108925014734268,-0.029818234965205193,0.056033890694379807,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.2401154041290283,-0.12975241243839264,-0.6292939782142639
0.2,-0.01659674383699894,-0.030297577381134033,0.07218369841575623,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.5979440212249756,-0.7157514095306396,-0.5673321485519409
0.22,-0.014990540221333504,-0.028722455725073814,0.09299290925264359,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.9768370389938354,-1.1751248836517334,-0.5111181139945984
0.24,-0.013905477710068226,-0.02635975554585457,0.11007949709892273,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.3182566165924072,-1.5002244710922241,-0.4840553104877472
0.26,-0.012243551202118397,-0.03008893132209778,0.13378256559371948,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.36078143119812,-1.6366227865219116,-0.4469352662563324
0.28,-0.010932867415249348,-0.030533958226442337,0.150933176279068,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.4225690364837646,-1.6181236505508423,-0.41122981905937195
0.3,-0.01098619680851698,-0.03367793187499046,0.1714564710855484,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.2267000675201416,-1.4464260339736938,-0.37919747829437256
0.32,-0.011477078311145306,-0.03415459766983986,0.18779152631759644,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.098961353302002,-1.2346166372299194,-0.3631540834903717
0.34,-0.012293304316699505,-0.03505875542759895,0.20437566936016083,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.9915210008621216,-1.0296951532363892,-0.32954034209251404
0.36,-0.010917840525507927,-0.036983687430620193,0.21904529631137848,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.956501841545105,-0.9590797424316406,-0.29762452840805054
0.38,-0.01065446250140667,-0.03778291121125221,0.23275671899318695,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.997658371925354,-0.8660184144973755,-0.2739180624485016
0.4,-0.0105594452470541,-0.038233015686273575,0.24853870272636414,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.0661520957946777,-0.7939671874046326,-0.25962918996810913
0.42,-0.01073418091982603,-0.03831116110086441,0.26061540842056274,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.1002724170684814,-0.6789242029190063,-0.22271938621997833
0.44,-0.009364468976855278,-0.03677433729171753,0.2755817174911499,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.1585793495178223,-0.5954267978668213,-0.18894077837467194
0.46,-0.01040143147110939,-0.03644735366106033,0.2862021327018738,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.190842866897583,-0.4430250823497772,-0.18323951959609985
0.48,-0.010537582449615002,-0.0363907590508461,0.29793480038642883,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.144012451171875,-0.33369529247283936,-0.15745809674263
0.5,-0.010431704111397266,-0.03477673977613449,0.3070700466632843,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.076449155807495,-0.22273018956184387,-0.13304579257965088
0.52,-0.012407675385475159,-0.031397927552461624,0.316896915435791,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-2.065965175628662,-0.11179138720035553,-0.10503017157316208
0.54,-0.012320240959525108,-0.030298970639705658,0.3247179687023163,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.919284701347351,-0.07637140899896622,-0.08501270413398743
0.56,-0.012686759233474731,-0.02809796668589115,0.334077924489975,0.0009399303235113621,-0.0010731552029028535,-0.0012625455856323242,-1.81715726852417,-0.019019775092601776,-0.05453554913401604
0.58,-0.013038096018135548,-0.02718682400882244,0.34091463685035706,-0.013518627732992172,0.031410373747348785,0.33798491954803467,-1.6327195167541504,-0.021814607083797455,0.020177185535430908
0.6,-0.012856717221438885,-0.025617387145757675,0.3472408056259155,-0.014077370055019855,0.03436115011572838,0.34422415494918823,-1.3840258121490479,-0.05763297900557518,0.09446179866790771
