time,motor.m1,motor.m2,motor.m3,motor.m4,stabilizer.thrust,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
0.03341269493103027,54907.0,57383.0,59351.0,56359.0,57000.0,-1.9919108152389526,1.077499508857727,-1.1846539974212646
0.05221748352050781,55969.0,56861.0,57787.0,57383.0,57000.0,-1.9763264656066895,1.0710573196411133,-1.1878594160079956
0.0714256763458252,55786.0,59294.0,61300.0,51620.0,57000.0,-1.9708855152130127,1.1174720525741577,-1.1097917556762695
0.09256219863891602,58579.0,60109.0,57935.0,51377.0,57000.0,-1.8525463342666626,1.333858847618103,-1.088633418083191
0.11213159561157227,54730.0,60926.0,60942.0,51402.0,57000.0,-1.3201534748077393,1.683750033378601,-1.1222649812698364
0.13137316703796387,51687.0,60657.0,59657.0,55999.0,57000.0,-0.6770923733711243,1.9529646635055542,-1.392388105392456
0.15080523490905762,51615.0,58029.0,63261.0,55095.0,57000.0,-0.34327882528305054,2.1721737384796143,-1.5824601650238037
0.17204833030700684,51785.0,59871.0,58791.0,57553.0,57000.0,-0.34399065375328064,2.151792287826538,-1.8280658721923828
0.1918318271636963,61645.0,58731.0,52257.0,55367.0,57000.0,-0.2449217140674591,2.055103063583374,-2.003997325897217
0.21236014366149902,50052.0,61366.0,58864.0,57718.0,57000.0,0.014647211879491806,1.9989160299301147,-2.1915431022644043
0.23284077644348145,52155.0,61883.0,56987.0,56975.0,57000.0,0.041725803166627884,2.058056354522705,-2.363621234893799
0.2527637481689453,55052.0,61360.0,55002.0,56586.0,57000.0,0.07852353155612946,2.0691657066345215,-2.5424141883850098
0.27342772483825684,35760.0,41194.0,38028.0,41018.0,39000.0,0.19113321602344513,1.8086576461791992,-2.766681432723999
0.2921483516693115,34129.0,42217.0,39175.0,40479.0,39000.0,0.19892312586307526,1.6019585132598877,-2.937438488006592
0.3123462200164795,33748.0,42532.0,39536.0,40184.0,39000.0,0.09373784065246582,1.5149182081222534,-3.1117916107177734
0.3324308395385742,34394.0,42592.0,39046.0,39968.0,39000.0,0.12505917251110077,1.454875111579895,-3.2625606060028076
0.3519918918609619,36073.0,42773.0,37899.0,39255.0,39000.0,-0.21779382228851318,1.4062002897262573,-3.42231822013855
0.3714768886566162,36856.0,41388.0,37306.0,40450.0,39000.0,-0.21545004844665527,1.2558168172836304,-3.5258772373199463
0.39337158203125,36234.0,41336.0,38112.0,40318.0,39000.0,-0.20354990661144257,1.0742671489715576,-3.604680299758911
0.41149306297302246,34680.0,40608.0,39576.0,41136.0,39000.0,-0.30246683955192566,1.3653175830841064,-3.5743305683135986
0.4313340187072754,35409.0,40819.0,38833.0,40939.0,39000.0,-0.31349989771842957,1.2537035942077637,-3.578632116317749
0.4516105651855469,37223.0,42623.0,37241.0,38913.0,39000.0,-0.4037701487541199,1.1106024980545044,-3.642491340637207
0.4713892936706543,36663.0,41911.0,38269.0,39157.0,39000.0,-0.2963709831237793,0.9773157835006714,-3.613220691680908
0.4905407428741455,36959.0,42157.0,37841.0,39043.0,39000.0,-0.21918116509914398,0.7785953879356384,-3.616208791732788
0.5120041370391846,40742.0,38412.0,40644.0,36202.0,39000.0,-0.08785954117774963,0.6777047514915466,-3.4975550174713135
0.5313150882720947,39713.0,39319.0,41419.0,35549.0,39000.0,0.0857333317399025,0.49536776542663574,-3.3159563541412354
0.5511255264282227,38740.0,39164.0,41606.0,36490.0,39000.0,0.19335533678531647,0.3444902300834656,-3.2180840969085693
0.571603536605835,37222.0,41586.0,37854.0,39338.0,39000.0,0.2841896414756775,0.25539493560791016,-3.1862668991088867
0.5913867950439453,40814.0,38818.0,39620.0,36748.0,39000.0,0.3543361723423004,0.17005975544452667,-3.054144859313965
0.6121845245361328,37559.0,42617.0,37539.0,38285.0,39000.0,0.37533801794052124,0.07758646458387375,-3.112548828125
0.6320276260375977,40828.0,39422.0,40156.0,35594.0,39000.0,0.48740527033805847,-0.006699516903609037,-2.9728286266326904
0.651705265045166,39435.0,40681.0,41111.0,34773.0,39000.0,0.6671382784843445,-0.06761055439710617,-2.8253514766693115
0.6711318492889404,39353.0,40589.0,39705.0,36353.0,39000.0,0.7999118566513062,-0.08691637963056564,-2.7333462238311768
0.691234827041626,38719.0,39191.0,39909.0,38181.0,39000.0,0.8503996729850769,-0.12072577327489853,-2.659601926803589
0.7111425399780273,38346.0,41904.0,36668.0,39082.0,39000.0,0.896181583404541,-0.17092673480510712,-2.6873579025268555
0.7312493324279785,37294.0,41454.0,37598.0,39654.0,39000.0,0.8318862318992615,-0.22135387361049652,-2.721235513687134
0.7503178119659424,39722.0,39296.0,40000.0,36982.0,39000.0,0.8651670217514038,-0.26357460021972656,-2.63264536857605
0.7715389728546143,37337.0,41321.0,36437.0,40905.0,39000.0,0.7849347591400146,-0.3047868609428406,-2.668511390686035
0.7913696765899658,36596.0,40444.0,37524.0,41436.0,39000.0,0.7353873252868652,-0.39736834168434143,-2.7107205390930176
0.810875654220581,39273.0,37529.0,38767.0,40431.0,39000.0,0.679128885269165,-0.5822307467460632,-2.654465913772583
0.8311343193054199,38150.0,40420.0,38766.0,38664.0,39000.0,0.5257425308227539,-0.7393959760665894,-2.6275434494018555
0.8512730598449707,37637.0,40631.0,40125.0,37607.0,39000.0,0.441686749458313,-0.8020373582839966,-2.5816972255706787
0.871605396270752,38152.0,40292.0,38444.0,39112.0,39000.0,0.393435537815094,-0.7479511499404907,-2.5694150924682617
0.8921904563903809,39245.0,39843.0,38005.0,38907.0,39000.0,-0.06651683151721954,-0.6726862788200378,-2.6966915130615234
0.9100222587585449,39157.0,41049.0,38339.0,37455.0,39000.0,-0.09840565919876099,-0.7016130685806274,-2.754241704940796
0.9316232204437256,38359.0,41663.0,38707.0,37271.0,39000.0,0.03361663222312927,-0.7411259412765503,-2.7197628021240234
0.9513094425201416,39438.0,41578.0,37520.0,37464.0,39000.0,0.1877439171075821,-0.7398213744163513,-2.6832797527313232
0.9710338115692139,37786.0,40146.0,38236.0,39832.0,39000.0,0.36311137676239014,-0.7400087118148804,-2.6737914085388184
0.9921834468841553,37611.0,41417.0,38453.0,38519.0,39000.0,0.41155368089675903,-0.7817140817642212,-2.6712868213653564
1.0109119415283203,37795.0,41153.0,37997.0,39055.0,39000.0,0.5337879657745361,-0.7821536064147949,-2.6675353050231934
1.0319538116455078,38270.0,40076.0,37828.0,39826.0,39000.0,0.5941208004951477,-0.7951557636260986,-2.6654369831085205
1.0521206855773926,36642.0,43380.0,36356.0,39622.0,39000.0,0.6828140616416931,-0.8115675449371338,-2.6677629947662354
1.0721940994262695,37542.0,42036.0,38206.0,38216.0,39000.0,0.6817190647125244,-0.7573496103286743,-2.6744027137756348
1.0912933349609375,39371.0,41637.0,37277.0,37715.0,39000.0,0.7080569267272949,-0.6559493541717529,-2.648844003677368
1.110860824584961,38441.0,41497.0,37365.0,38697.0,39000.0,0.7745429277420044,-0.5490652322769165,-2.639155864715576
1.1317367553710938,36889.0,43465.0,36205.0,39441.0,39000.0,0.8697934150695801,-0.5109967589378357,-2.6480679512023926
1.1518304347991943,37818.0,41786.0,37148.0,39248.0,39000.0,0.9573237299919128,-0.511505126953125,-2.66825270652771
1.171895980834961,37285.0,42019.0,37275.0,39421.0,39000.0,0.9493489861488342,-0.5184376835823059,-2.6968514919281006
1.1912238597869873,36199.0,43617.0,36623.0,39561.0,39000.0,0.9959481358528137,-0.51115483045578,-2.7311418056488037
1.2109744548797607,37222.0,43362.0,35692.0,39724.0,39000.0,1.040137767791748,-0.41467398405075073,-2.7666094303131104
1.2323932647705078,36520.0,43358.0,36086.0,40036.0,39000.0,1.0508407354354858,-0.3465472161769867,-2.7975471019744873
1.2522599697113037,36149.0,44545.0,36145.0,39161.0,39000.0,0.9766238331794739,-0.32096466422080994,-2.8508145809173584
1.27146577835083,36620.0,43308.0,41812.0,46260.0,42000.0,0.9063538908958435,-0.31399667263031006,-2.8960793018341064
1.2924165725708008,38187.0,46395.0,40355.0,43063.0,42000.0,0.8566907048225403,-0.371564120054245,-2.9326364994049072
1.312370777130127,40778.0,45928.0,37892.0,43402.0,42000.0,0.7675482034683228,-0.306975781917572,-3.1102309226989746
1.3320832252502441,40478.0,46290.0,38424.0,42808.0,42000.0,1.345155954360962,-0.2769430875778198,-3.122086524963379
1.3522531986236572,39571.0,45849.0,39187.0,43393.0,42000.0,1.9409620761871338,-0.24897801876068115,-3.1555867195129395
1.3722379207611084,39469.0,46463.0,40055.0,42013.0,42000.0,2.438053607940674,-0.2284597009420395,-3.159370183944702
1.3923025131225586,40580.0,46592.0,38734.0,42094.0,42000.0,2.851947546005249,-0.18043969571590424,-3.1545464992523193
1.4120166301727295,39179.0,46065.0,41001.0,41755.0,42000.0,3.165323495864868,-0.15815630555152893,-3.2761502265930176
1.4327116012573242,39805.0,45069.0,40479.0,42647.0,42000.0,3.495542049407959,-0.12324674427509308,-3.2362630367279053
1.4523794651031494,39388.0,45702.0,40854.0,42056.0,42000.0,3.814663887023926,-0.08674850314855576,-3.200049877166748
1.47257661819458,40441.0,43877.0,39811.0,43871.0,42000.0,3.9958598613739014,-0.0544925332069397,-3.194016456604004
1.4907245635986328,40175.0,45837.0,40625.0,41363.0,42000.0,4.233667373657227,-0.1476873755455017,-3.15315842628479
1.5113027095794678,39530.0,45380.0,41254.0,41836.0,42000.0,4.374835014343262,-0.1314431130886078,-3.108447313308716
1.5302278995513916,38952.0,46302.0,41502.0,41244.0,42000.0,4.5839972496032715,-0.11643020063638687,-3.0692994594573975
1.5503618717193604,39354.0,44988.0,41618.0,42040.0,42000.0,4.652186870574951,-0.05751319229602814,-3.012571334838867
1.5703074932098389,40042.0,45654.0,40530.0,41774.0,42000.0,4.819250106811523,-0.05679408088326454,-2.9803361892700195
1.5908050537109375,39476.0,47226.0,41810.0,39488.0,42000.0,4.9390869140625,-0.06758980453014374,-2.916496515274048
1.6107895374298096,39777.0,46005.0,40849.0,41369.0,42000.0,5.017488479614258,-0.016484251245856285,-2.869948625564575
1.6304843425750732,40100.0,45146.0,40648.0,42106.0,42000.0,5.067846775054932,0.0399450920522213,-2.8299527168273926
1.6511025428771973,38540.0,45548.0,42432.0,41480.0,42000.0,5.12851095199585,0.07228777557611465,-2.799713134765625
1.6714353561401367,40924.0,44822.0,40648.0,41606.0,42000.0,5.17283296585083,0.13983753323554993,-2.7481203079223633
1.69081711769104,39945.0,45643.0,41365.0,41047.0,42000.0,5.2286057472229,0.171498641371727,-2.675835609436035
1.711987018585205,39328.0,45050.0,42060.0,41562.0,42000.0,5.287559986114502,0.19116927683353424,-2.585038423538208
1.7310371398925781,40759.0,44605.0,40581.0,42055.0,42000.0,5.247527122497559,0.1822919100522995,-2.5000357627868652
1.751518964767456,38344.0,46072.0,42690.0,40894.0,42000.0,5.235884189605713,0.10516387224197388,-2.4317679405212402
1.7702405452728271,38979.0,44075.0,41691.0,43255.0,42000.0,5.141384124755859,0.12205827236175537,-2.4103212356567383
1.7914385795593262,40520.0,43190.0,39760.0,44530.0,42000.0,4.994011402130127,0.12450377643108368,-2.4085261821746826
1.8114228248596191,37886.0,44210.0,42132.0,43772.0,42000.0,4.804211139678955,0.02899494767189026,-2.4431958198547363
1.8308520317077637,37685.0,45599.0,41819.0,42897.0,42000.0,4.585803031921387,-0.0449223667383194,-2.5203003883361816
1.8511919975280762,37013.0,45131.0,43065.0,42791.0,42000.0,4.062363624572754,-0.05067535489797592,-2.748692750930786
1.871474266052246,39156.0,43812.0,41678.0,43354.0,42000.0,3.9660892486572266,-0.003360364120453596,-2.749117374420166
