time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,target.x,target.y,target.z,target.vx,target.vy,target.vz,target.ax,target.ay,target.az,target.roll,target.pitch,target.yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.28,0.008771880529820919,0.007471636403352022,0.0208599753677845,0.0,0.0,0.0,-0.23445969820022583,-0.3710661232471466,-0.732932448387146,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28153.0,40157.0,35617.0,30037.0,0,0,0,0,35881.71875,93.0,-5287.0,-1640.0
0.3,0.010358077473938465,0.010102549567818642,0.02145208977162838,0.0,0.0,0.0,0.3494659960269928,0.03397063910961151,-0.8819584250450134,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30818.0,41488.0,37712.0,33330.0,0,0,0,0,35861.609375,-1789.0,-9564.0,-1674.0
0.32,0.016152072697877884,0.011069735512137413,0.022234447300434113,0.0,0.0,0.0,0.8624932169914246,0.6782068014144897,-1.0411354303359985,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30741.0,40021.0,37641.0,35009.0,0,0,0,0,35773.9765625,1281.0,-2795.0,-1703.0
0.34,0.018518712371587753,0.008185015060007572,0.023137344047427177,0.0,0.0,0.0,1.2868415117263794,1.5199108123779297,-1.190578579902649,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32571.0,41189.0,38775.0,36953.0,0,0,0,0,37331.48046875,-2358.0,-4641.0,-1686.0
0.36,0.019313374534249306,0.00341199804097414,0.014675639569759369,0.0,0.0,0.0,1.5782934427261353,2.244932174682617,-1.3395137786865234,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34977.0,44429.0,36211.0,33763.0,0,0,0,0,37302.75390625,-6158.0,-6304.0,-1782.0
0.38,0.021409867331385612,-0.0025703581050038338,0.014663438312709332,0.0,0.0,0.0,1.7276005744934082,2.6497933864593506,-1.4791706800460815,0.0,0.0,0.15000000596046448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34633.0,42703.0,38259.0,37133.0,0,0,0,0,40543.25390625,-1656.0,-7068.0,-1704.0
0.4,0.020096268504858017,-0.008449445478618145,0.009036844596266747,0.0,0.0,0.0,2.0775604248046875,3.155961036682129,-1.6108860969543457,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37316.0,45354.0,40308.0,38798.0,0,0,0,0,40358.96484375,-1378.0,-1426.0,-1739.0
0.42,0.01706899330019951,-0.013742486014962196,0.008768653497099876,0.0,0.0,0.0,2.270397901535034,3.616037607192993,-1.7179694175720215,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36902.0,44672.0,39828.0,39338.0,0,0,0,0,40657.515625,-1499.0,-7072.0,-1846.0
0.44,0.013634051196277142,-0.01932011917233467,0.0051665399223566055,0.0,0.0,0.0,2.1886463165283203,3.9339966773986816,-1.7917124032974243,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36116.0,41770.0,40808.0,42930.0,0,0,0,0,40097.69140625,-412.0,-5479.0,-1812.0
0.46,0.008137787692248821,-0.024391431361436844,0.005084010772407055,0.0,0.0,0.0,1.8708834648132324,4.128114223480225,-1.8562980890274048,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37090.0,41664.0,39000.0,41246.0,0,0,0,0,39820.5,-812.0,-3543.0,-1744.0
