time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.0,0.001233263872563839,-0.0018586855148896575,0.006427164189517498,0.0,0.0,0.0,-1.8425301313400269,-0.5399303436279297,-0.028942687436938286,-0.005688415840268135,2.8691489696502686,0.006427164189517498,52326.0,52002.0,56404.0,57176.0,0,0,0,0,54655.9296875,2965.0,9.0,67.0
0.02,-0.001148473471403122,0.00032693834509700537,0.006944073364138603,0.0,0.0,0.0,-1.9402374029159546,-0.43098434805870056,-0.03559654951095581,-0.005681216716766357,2.869152545928955,0.006944073364138603,55675.0,52565.0,54365.0,56683.0,0,0,0,0,55205.390625,-2616.0,-501.0,279.0
0.04,-0.0011561561841517687,-0.0017451816238462925,0.0063707553781569,0.0,0.0,0.0,-1.8353395462036133,-0.41311585903167725,-0.02485419251024723,-0.005823541898280382,2.8693060874938965,0.0063707553781569,58830.0,55072.0,52400.0,55118.0,0,0,0,0,55676.08984375,-5948.0,-1140.0,199.0
0.06,-0.0002617126447148621,-0.00047596479998901486,0.005523922387510538,0.0,0.0,0.0,-1.6762405633926392,-0.533259391784668,0.0327056460082531,-0.005766956601291895,2.869258403778076,0.005523922387510538,55190.0,62820.0,55334.0,47988.0,0,0,0,0,54507.3046875,-5097.0,-5458.0,-119.0
0.08,-0.0010244200238958001,-0.0003895673726219684,0.006454582791775465,0.0,0.0,0.0,-1.0701302289962769,-0.35889196395874023,0.059443678706884384,-0.005757029168307781,2.8692636489868164,0.0064764805138111115,53095.0,57197.0,53613.0,49447.0,0,0,0,0,51560.96484375,-1007.0,-8573.0,122.0
0.1,-0.0006307216826826334,-0.002779559697955847,0.011050031520426273,0.0,0.0,0.0,-0.2695258557796478,0.08185470104217529,0.05234460160136223,-0.0061934771947562695,2.869715929031372,0.008792711421847343,47546.0,52918.0,52598.0,48470.0,0,0,0,0,48619.0234375,-660.0,-4576.0,-266.0
0.12,-0.00022796526900492609,-0.0034565592650324106,0.013994631357491016,0.0,0.0,0.0,0.06595613807439804,0.4208412170410156,0.048163797706365585,-0.006191892083734274,2.8697168827056885,0.013994631357491016,42971.0,50367.0,50173.0,43909.0,0,0,0,0,46855.01953125,1292.0,-8999.0,-896.0
0.14,-0.003994246479123831,-0.007859505712985992,0.022156190127134323,0.0,0.0,0.0,0.2151682823896408,0.7058624029159546,-0.006284939590841532,0.022156190127134323,2.869751453399658,0.022156190127134323,43074.0,43266.0,42256.0,44116.0,0,0,0,0,43178.6796875,465.0,1040.0,-1449.0
0.16,-0.010538014583289623,0.0002749325067270547,0.032872263342142105,0.0,0.0,0.0,-0.21080340445041656,0.9377261400222778,-0.06514745950698853,0.016907306388020515,2.8703060150146484,0.027001114562153816,40059.0,42433.0,41003.0,41085.0,0,0,0,0,41145.46484375,-154.0,-2122.0,-1589.0
0.18,-0.01887499913573265,0.0009696506313048303,0.03885149210691452,0.0,0.0,0.0,-0.2618233561515808,0.7125162482261658,-0.14724110066890717,0.016528910025954247,2.8702573776245117,0.03885149210691452,37035.0,42739.0,37961.0,36745.0,0,0,0,0,38620.2890625,-2747.0,-5099.0,-2010.0
0.2,-0.01680828258395195,-0.004170997533947229,0.0540582612156868,0.0,0.0,0.0,0.1465170830488205,-0.0650055855512619,-0.27339544892311096,0.01623671129345894,2.8703665733337402,0.0540582612156868,34843.0,36749.0,36439.0,38025.0,0,0,0,0,36514.99609375,1015.0,558.0,-1895.0
0.22,-0.01496121659874916,-0.0023546707816421986,0.0698576271533966,0.0,0.0,0.0,0.2981378138065338,-0.7354770302772522,-0.3791762888431549,0.01676938124001026,2.870424747467041,0.0698576271533966,35513.0,37809.0,35753.0,37529.0,0,0,0,0,36651.63671875,-1806.0,-433.0,-2207.0
0.24,-0.014717914164066315,-0.001166280242614448,0.07594908773899078,0.0,0.0,0.0,0.27798032760620117,-1.458340048789978,-0.48415008187294006,0.010246507823467255,2.870924234390259,0.0764186903834343,35974.0,36696.0,33990.0,36032.0,0,0,0,0,35673.9453125,-111.0,155.0,-2244.0
0.26,-0.019137561321258545,0.0037448459770530462,0.09117045998573303,0.0,0.0,0.0,0.11379833519458771,-2.068603038787842,-0.5842166543006897,0.009917729534208775,2.8708741664886475,0.09117045998573303,34227.0,36207.0,33403.0,36571.0,0,0,0,0,35102.73828125,396.0,917.0,-2259.0
0.28,-0.017264220863580704,0.004644551780074835,0.10683411359786987,0.0,0.0,0.0,0.17116214334964752,-2.9422919750213623,-0.7044010758399963,0.00968567281961441,2.8711130619049072,0.1147039532661438,32628.0,33886.0,31306.0,34700.0,0,0,0,0,33130.3359375,-2002.0,-2395.0,-2056.0
0.3,-0.014712751843035221,0.004578359890729189,0.13063906133174896,0.0,0.0,0.0,0.3103262782096863,-3.8021159172058105,-0.8047043681144714,0.009721469134092331,2.9257280826568604,0.13063906133174896,32019.0,35049.0,32787.0,31581.0,0,0,0,0,32859.9765625,-3277.0,-4266.0,-1979.0
0.32,-0.017954979091882706,0.00121407734695822,0.1465298980474472,0.0,0.0,0.0,0.6333740949630737,-4.281348705291748,-0.8574175238609314,0.009916631504893303,2.926023483276367,0.1465298980474472,31800.0,35972.0,31380.0,31964.0,0,0,0,0,32779.59375,-1887.0,-369.0,-1957.0
0.34,-0.017046140506863594,0.0005202507600188255,0.16392874717712402,0.0,0.0,0.0,0.831585168838501,-4.803316593170166,-0.9308529496192932,0.01023902092128992,2.9278030395507812,0.16392874717712402,31384.0,34656.0,31546.0,32490.0,0,0,0,0,32519.341796875,-1566.0,-1303.0,-1617.0
0.36,-0.015139812603592873,0.0032271870877593756,0.17753030359745026,0.0,0.0,0.0,0.7834387421607971,-5.36275053024292,-1.017859697341919,0.009728970006108284,2.9381916522979736,0.1774817258119583,32333.0,33159.0,31453.0,34859.0,0,0,0,0,32951.83984375,132.0,701.0,-1559.0
0.38,-0.013974896632134914,0.003078067908063531,0.1926049292087555,0.0,0.0,0.0,0.7833510637283325,-5.862916946411133,-1.063225269317627,0.01000271923840046,2.9391279220581055,0.1926049292087555,32632.0,33826.0,31302.0,34552.0,0,0,0,0,33078.43359375,-50.0,-2354.0,-1471.0
0.4,-0.012644498609006405,0.0031931919511407614,0.20578347146511078,0.0,0.0,0.0,0.6933833956718445,-6.305990219116211,-1.1023688316345215,0.009974684566259384,2.939093589782715,0.20578347146511078,31201.0,34895.0,33763.0,34317.0,0,0,0,0,33544.9921875,533.0,-1234.0,-1330.0
0.42,-0.006574737839400768,0.006494475994259119,0.2172296941280365,0.0,0.0,0.0,0.48756566643714905,-6.777949810028076,-1.190539002418518,0.00944883469492197,2.9393272399902344,0.2172296941280365,32654.0,34906.0,33754.0,34990.0,0,0,0,0,34076.98828125,-655.0,-124.0,-1117.0
