time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,B,C,X,S,T,Y,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.0,-0.0004663002910092473,-0.00010273866791976616,0.009286966174840927,0.0,0.0,0.0,-1.4281173944473267,0.12160246819257736,0.004902967251837254,-0.006742893252521753,2.866899251937866,0.009341966360807419,-0.6424587965011597,0.22554118931293488,-0.00046627275878563523,-0.2230970561504364,0.47490304708480835,-0.00014716906298417598,28751.0,29481.0,31111.0,30465.0,0,0,0,0,29952.5390625,1819.0,-498.0,47.0
0.02,-0.0004661036073230207,-0.00018132865079678595,0.006542810704559088,0.0,0.0,0.0,-1.4243462085723877,0.12200841307640076,0.0047730449587106705,-0.006939094513654709,2.8670907020568848,0.006431307177990675,-0.6374661922454834,0.22453391551971436,-0.0004646365123335272,-0.21718138456344604,0.3588187098503113,-0.00020161052816547453,28186.0,29536.0,31206.0,30856.0,0,0,0,0,29946.302734375,186.0,122.0,18.0
0.04,-0.00014651802484877408,-0.00022484810324385762,0.006323256064206362,0.0,0.0,0.0,-1.4102140665054321,0.11470235139131546,0.006161373108625412,-0.0069389380514621735,2.8670907020568848,0.006215204019099474,-0.6375178098678589,0.22448225319385529,-0.0005279754986986518,-0.21713712811470032,0.3588629364967346,-0.0001851378328865394,28197.0,29405.0,30433.0,29449.0,0,0,0,0,29371.29296875,582.0,-426.0,120.0
0.06,-0.000866458925884217,-0.001232366543263197,0.008969638496637344,0.0,0.0,0.0,-1.343029260635376,0.1629352867603302,-0.0016333558596670628,-0.007018095813691616,2.8671722412109375,0.009035762399435043,-0.6373054385185242,0.22469468414783478,-0.00025794870452955365,-0.21795257925987244,0.3580475151538849,-0.0012329812161624432,28843.0,29127.0,29883.0,29599.0,0,0,0,0,29363.001953125,-637.0,-3393.0,-11.0
0.08,-0.00025298044783994555,-0.0012414575321599841,0.008554373867809772,0.0,0.0,0.0,-1.3340439796447754,0.1495528519153595,-0.000490519858431071,-0.0070924777537584305,2.8672473430633545,0.00858053844422102,-0.6370283961296082,0.2309715449810028,0.0010472892317920923,-0.23331411182880402,0.40668535232543945,-0.0012964585330337286,27677.0,30101.0,31113.0,29013.0,0,0,0,0,29476.91796875,1565.0,5.0,78.0
0.1,-0.0002634057600516826,-0.0012967581860721111,0.010689662769436836,0.0,0.0,0.0,-1.3221580982208252,0.15758687257766724,-0.001017496339045465,-0.007161275949329138,2.8673205375671387,0.010846272110939026,-0.6387771368026733,0.22922278940677643,-0.000885009067133069,-0.23269464075565338,0.4073048233985901,-0.00045400639646686614,29587.0,30925.0,34149.0,31555.0,0,0,0,0,31554.193359375,2303.0,88.0,-202.0
0.12,-0.000586733513046056,-0.0005617229617200792,0.01099854614585638,0.0,0.0,0.0,-1.3371953964233398,0.17766274511814117,-0.0019148009596392512,-0.007162022404372692,2.8673198223114014,0.011159625835716724,-0.6385060548782349,0.2294938564300537,-0.0006152346031740308,-0.23288138210773468,0.4071180522441864,-0.0004233144863974303,30006.0,30332.0,32950.0,32844.0,0,0,0,0,31533.13671875,3597.0,2630.0,62.0
0.142,-0.00028172374004498124,-0.0005458375671878457,0.010103192180395126,0.0,0.0,0.0,-1.3184547424316406,0.1733226776123047,0.0017208021599799395,-0.007304781582206488,2.867464065551758,0.010222552344202995,-0.638563334941864,0.23243668675422668,-0.0005998421111144125,-0.22579286992549896,0.45520684123039246,-0.0006056875572539866,30235.0,31559.0,32987.0,31927.0,0,0,0,0,31677.71875,3383.0,-510.0,-100.0
0.16,-0.0006374760414473712,-0.00040692524635232985,0.010908759199082851,0.0,0.0,0.0,-1.3022449016571045,0.18759086728096008,-0.025823773816227913,-0.007323655299842358,2.8674845695495605,0.011038295924663544,-0.638782262802124,0.23221774399280548,-0.0009380030678585172,-0.2260533571243286,0.4549463391304016,-0.0005397070199251175,29165.0,31721.0,33483.0,32575.0,0,0,0,0,31736.640625,1920.0,2768.0,-19.0
0.18,-0.0006213279557414353,-0.00034977306495420635,0.01117029320448637,0.0,0.0,0.0,-1.2824124097824097,0.18303494155406952,-0.03204721957445145,-0.007321392185986042,2.867485761642456,0.01129230484366417,-0.6382619142532349,0.23273806273937225,-0.00034977178438566625,-0.22634156048297882,0.4546581506729126,-0.0005002206307835877,31846.0,30514.0,31894.0,32574.0,0,0,0,0,31707.6171875,2977.0,-2421.0,88.0
