time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,stabilizer.thrust,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
0.0,0.08070144057273865,-0.1338094025850296,0.01189875416457653,0.0,0.0,0.0,0.018313884735107422,-0.004508750047534704,0.008358394727110863,65535.0,55081.0,38797.0,48719.0,55019.8671875,0.025457708165049553,0.0029578383546322584,0.014140659943223
0.02,0.08361591398715973,-0.138599693775177,0.01190878078341484,0.0,0.0,0.0,0.025457708165049553,0.0029578383546322584,0.014140659943223,65535.0,51885.0,34935.0,48205.0,55492.04296875,0.030947968363761902,0.05346599593758583,0.015850575640797615
0.04,0.08668190240859985,-0.1436382383108139,0.011573292315006256,0.0,0.0,0.0,0.030947968363761902,0.05346599593758583,0.015850575640797615,64661.0,57285.0,46661.0,54949.0,55889.94140625,-0.12884697318077087,0.007835459895431995,0.018879104405641556
0.06,0.08959926664829254,-0.14844055473804474,0.01159418374300003,0.0,0.0,0.0,-0.12884697318077087,0.007835459895431995,0.018879104405641556,48804.0,59942.0,61962.0,51684.0,55598.60546875,-1.127193808555603,0.5301337838172913,-0.019429609179496765
0.08,0.09405914694070816,-0.15574485063552856,0.008330799639225006,0.0,0.0,0.0,-1.1027947664260864,0.5151389241218567,-0.01967701129615307,39767.0,59721.0,65535.0,47537.0,54139.32421875,-3.35831356048584,2.342196226119995,0.004427684936672449
0.1,0.0957745835185051,-0.15856985747814178,0.012948769144713879,0.0,0.0,0.0,-3.35831356048584,2.342196226119995,0.004427684936672449,28931.0,47919.0,65535.0,49047.0,51868.71484375,-6.061885833740234,4.28251314163208,0.13186101615428925
0.12,-0.009914816357195377,0.02181767113506794,0.017542922869324684,0.0,0.0,0.0,-7.008279800415039,5.095208644866943,0.17196612060070038,36526.0,54252.0,59026.0,46064.0,48967.55078125,-7.915855884552002,6.12362813949585,0.21669016778469086
0.14,-0.05374705791473389,0.06449685990810394,0.022817641496658325,0.0,0.0,0.0,-8.326963424682617,6.727670192718506,0.17283010482788086,51226.0,46722.0,39908.0,47012.0,46217.1640625,-7.526028156280518,6.277503490447998,0.010604647919535637
0.16,-0.025966428220272064,0.09444770961999893,0.03171093389391899,0.0,0.0,0.0,-7.526028156280518,6.277503490447998,0.010604647919535637,48060.0,44740.0,34916.0,41060.0,42194.3046875,-4.738514423370361,4.385439872741699,-0.331375390291214
0.18,0.014788705855607986,0.03424239158630371,0.03805195540189743,0.0,0.0,0.0,-4.6913323402404785,4.355339527130127,-0.33355772495269775,39783.0,42537.0,42205.0,41731.0,41564.41796875,-3.7649452686309814,3.651362180709839,-0.37595584988594055
