time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.0,-0.012916279025375843,-0.015951288864016533,0.02365981414914131,0.0,0.0,0.0,-1.9338552951812744,-0.13313208520412445,-0.005139758810400963,0.011887491680681705,2.894394874572754,0.02365981414914131,56511.0,56793.0,56639.0,56153.0,0,0,0,0,56524.984375,-618.0,-3191.0,18.0
0.02,-0.013492630794644356,-0.016619078814983368,0.02385789342224598,0.0,0.0,0.0,-1.9287242889404297,-0.13068455457687378,-0.00253751571290195,0.011887491680681705,2.894394874572754,0.02385789342224598,57837.0,58189.0,55837.0,55913.0,0,0,0,0,56944.25,-227.0,-4868.0,-128.0
0.04,-0.014091651886701584,-0.0173103716224432,0.023035794496536255,0.0,0.0,0.0,-1.8922882080078125,-0.1589139699935913,-0.013741439208388329,0.011773801408708096,2.8946590423583984,0.023035794496536255,59381.0,61661.0,54453.0,54557.0,0,0,0,0,57513.80078125,-4201.0,2179.0,-640.0
0.06,-0.014681764878332615,-0.017886001616716385,0.022642308846116066,0.0,0.0,0.0,-1.6531941890716553,-0.3407207429409027,-0.10112373530864716,0.011759449727833271,2.8945858478546143,0.022642308846116066,56879.0,65319.0,57795.0,51647.0,0,0,0,0,57910.03515625,-4416.0,-2023.0,-596.0
0.08,-0.01524452492594719,-0.0183117613196373,0.023393701761960983,0.0,0.0,0.0,-1.1616591215133667,-0.36781299114227295,-0.1862155646085739,0.016964970156550407,2.899789571762085,0.028608981519937515,50781.0,63975.0,60377.0,50531.0,0,0,0,0,56416.46484375,-1870.0,1041.0,-1025.0
0.1,0.0008344579837284982,-0.03378961607813835,0.027728816494345665,0.0,0.0,0.0,-0.576487123966217,-0.15395385026931763,-0.2654058635234833,0.00848754309117794,2.8920655250549316,0.02050516940653324,55068.0,56806.0,50934.0,54368.0,0,0,0,0,54294.0390625,2805.0,6310.0,-1347.0
0.12,0.02411789260804653,-0.040627144277095795,0.031902015209198,0.0,0.0,0.0,-0.5356412529945374,-0.1728806495666504,-0.38949987292289734,0.018492208793759346,2.901750087738037,0.032965581864118576,44131.0,53379.0,54629.0,49917.0,0,0,0,0,50514.203125,2938.0,-7527.0,-1172.0
0.14,-0.003219898557290435,-0.029453972354531288,0.0493292361497879,0.0,0.0,0.0,-1.3641771078109741,0.5544859766960144,-0.5730659365653992,0.02403610572218895,2.9072964191436768,0.047291647642850876,41350.0,47342.0,48028.0,47636.0,0,0,0,0,46089.8203125,176.0,-6758.0,-1418.0
0.16,-2.7609712560661137e-05,-0.014456375502049923,0.05399611219763756,0.0,0.0,0.0,-2.0608789920806885,0.9787211418151855,-0.6992196440696716,0.013851516880095005,2.8982162475585938,0.045114196836948395,41827.0,46103.0,41943.0,43631.0,0,0,0,0,43376.56640625,-394.0,-1697.0,-1440.0
0.18,-0.014606270007789135,0.033339519053697586,0.03452630341053009,0.0,0.0,0.0,-2.5357697010040283,1.408064603805542,-0.8657969832420349,0.031957078725099564,2.887981414794922,0.04796671122312546,34898.0,46278.0,43474.0,38310.0,0,0,0,0,40740.0546875,-988.0,-6069.0,-1565.0
0.2,-0.039199862629175186,0.04097284376621246,0.039018936455249786,0.0,0.0,0.0,-2.1121022701263428,1.5747873783111572,-1.0506622791290283,0.015295755118131638,2.8718960285186768,0.04652919992804527,36210.0,43642.0,38644.0,38312.0,0,0,0,0,39202.72265625,-1309.0,-2078.0,-1829.0
0.22,-0.04893851280212402,0.05179362744092941,0.04319237172603607,0.0,0.0,0.0,-1.3839389085769653,1.27144455909729,-1.2329192161560059,0.0028098858892917633,2.8600664138793945,0.05034654960036278,37359.0,40361.0,37315.0,41145.0,0,0,0,0,39045.9765625,-3024.0,-1091.0,-1644.0
0.24,-0.05249941721558571,0.03483535349369049,0.07457878440618515,0.0,0.0,0.0,-0.4081628620624542,0.18220475316047668,-1.3788880109786987,0.018509086221456528,2.8822269439697266,0.08368419110774994,38136.0,39114.0,31222.0,36840.0,0,0,0,0,36328.06640625,-4660.0,3190.0,-1739.0
0.26,-0.05590406432747841,0.030757874250411987,0.09794410318136215,0.0,0.0,0.0,0.5905049443244934,-1.243970274925232,-1.476104497909546,0.037973735481500626,2.9006619453430176,0.12079810351133347,36953.0,36789.0,27551.0,35171.0,0,0,0,0,34116.05078125,-7098.0,834.0,-1830.0
0.28,-0.051945071667432785,0.010790529660880566,0.1430523842573166,0.0,0.0,0.0,1.6224476099014282,-2.9185328483581543,-1.5490299463272095,0.046052832156419754,2.908494472503662,0.14652758836746216,33861.0,37505.0,28531.0,31899.0,0,0,0,0,32949.171875,-5622.0,-46.0,-1726.0
